character,nationality
Shane Taylor,USA
Leonard Welsh,USA
Officer Larry,USA
Phil Mercedes,USA
Kay Mercedes,USA
Martin Ames,USA
Dan McLean,USA
Ah Fong,China
Caleb Swain,USA
Letitia Swain,USA
Dr. Frankenstein,Unknown
Sylvester,Unknown
Twins,Alien
US president,USA
Alien father,Alien
A. E. Hotchner,USA
The Boy,USA
The Father,Germany
Franklin Swift,USA
Zora Banks,USA
Reggie Baptiste,USA
Marcus,USA
Tyree,USA
Charlie,Italian-American
Johnny Boy,Italian-American
Giovanni,Italian-American
Teresa,Italian-American
Michael,Italian-American
Cassandra,Unknown
Jorge,Unknown
Shore,Unknown
Lola,Unknown
Superman/Clark Kent,USA
Lois Lane,USA
Perry White,USA
Rosario,Philippines
Crispin,Philippines
Masugi,Japan
Mang Andoy,Philippines
Simone,France
Juliette,France
Lucien,France
Louise,USA
Brewster,USA
Frank Shaft,USA
Suzanne,USA
Daffy,USA
Porky,USA
Pocahontas,USA
Captain John Smith,USA
US uranium processing company's representative,USA
woman medical missionary,USA
agents of foreign power,fictional
native witchdoctor,Kenya
Eric Young,USA
Sean,USA
Monica Donovan,USA
Coach Donovan,USA
Kitty Moran,USA
Jack Moran,USA
Viswanathan,India
Shyama,India
Countess Helene Mara,unknown
Prince Otto Von Liebenheim,unknown
Count Rudolph Falliere,unknown
Franco Ricci,Argentina
Veronica,Argentina
American boy,USA
Baba Kalyani,India
Bose Ninan,India
Ashokan,India
Madhumitha,India
Isra Mohammed Haji,India
Babur,India
Raghupathi,India
Zhang Yi-shan,Indonesia
Jackie Chan,China
Police Officer,China
Thugs,China
Ichigo Kurosaki,Japan
Rukia Kuchiki,Japan
Senna,unknown
Tōshirō Hitsugaya,Japan
Rangiku Matsumoto,Japan
Kisuke Urahara,Japan
Renji Abarai,Japan
Jushiro Ukitake,Japan
Soì-Fon,Japan
Orihime Inoue,Japan
Shigekuni Yamamoto-Genryūsai,Japan
Ganryu,unknown
Kelly Holden,USA
Graydon Jennings,USA
Hank,USA
Senator Darren Hartford,USA
Robo,not applicable
Maze Master,not applicable
Pastor Dan Day,USA
Dr. Paul Blaylock,USA
Carl,USA
Teacher Dao,Vietnam
Kien An,Vietnam
Hai,Vietnam
Lan,Vietnam
Woody,Vietnam
James Hager,USA
Zasu,USA
Thelma,USA
Soap,USA
Price,UK
Ghost,unknown
General Shepherd,USA
Vladimir Makarov,Russia
Mercedes Murphy,USA
Slick Barney,USA
Olive Sumner,USA
The Heller,USA
Reverend Gavin McGregor,USA
Jackie Robinson,USA
Branch Rickey,USA
Rae,USA
Clyde Sukeforth,USA
Gerald Meldrick,England
Anya von Duren,Germany
Duchess of Beltravers,England
Retired Cop,USA
Brother,USA
Mob Boss,USA
Dave Peck,Australia
Paul Kemp,USA
Sala,Puerto Rico
Chenault,USA
Lotterman,USA
Sanderson,USA
Papa Nebo,Puerto Rico
Manolo,Indian
Sam Woods,USA
Maryline Kane,USA
Duan Loc,Vietnam
Douglas McCadden,USA
Dr. Ken Melrose,USA
Peter Sharpe,USA
Dr. Hayworth,USA
University President Wendell Rossmore,USA
Bruce Serrano,USA
Lt. Plummer,USA
Syracuse,Irish
Annie,Irish
Ondine,Romanian
Maura,Irish
Professor Brij Mohan Agnihotri,India
Ramesh,India
Punam,India
Major Crespin,UK
Lucilla,UK
Dr. Traherne,UK
Watkins,UK
Dr. Benton Walsh,USA
CIA agent,USA
Delta Force soldiers,USA
Inspector Van der Valk,Netherlands
Ummu Kholzu,unknown
Kamarudeen,unknown
Razzak,unknown
Catherine,Russia
Peter,Russia
Elizabeth,Russia
Hongi Tepe,New Zealand
Laila,Egypt
Marzouk Afandy,Egypt
Mr. Hamam,Egypt
Wahid,Egypt
Main Character,India
Thunder,demonic
Lightning,demonic
soldier,Japan
Professor Sakai,Japan
Hellboy,demonic
Kate Corrigan,USA
Russell Thorne,USA
Abe Sapien,unknown
Liz Sherman,unknown
Nate,USA
Robyn,USA
Shane,USA
Kenny,USA
Young Priest,France
Chantal,France
Ram,India
Radhi,India
Charu,India
Latha,India
Chandru,India
Terry Dean,unspecified
Steve Garner,unspecified
Rose,unspecified
George Bealeman,unspecified
George Petty,USA
Mrs. Connie Manton Dezlow,USA
Victoria Braymore,USA
Pi Shao Ting,Chinese
Anne,Chinese
Tie Ying,Chinese
Pi Shao Ting's Father,Chinese
The Principal,Chinese
Shaolin Kid,Chinese
Zhen Zhu,Chinese
Moe Finkelstein,USA
Karl Baumer,Germany
Baron Max von Alvenstor,Germany
Sophie Baumer,Czechoslovakia
Otto Horst,Germany
Bosko,USA
Honey,USA
Kazuki Shimizu,Japan
Mickey Almon,USA
Englishman,England
Harry,UK
Ron,UK
Hermione,UK
Draco Malfoy,Unknown
Lucius Malfoy,UK
Gilderoy Lockhart,UK
Cornelius Fudge,UK
Dobby,Unknown
Voldemort / Tom Riddle,UK
Dumbledore,UK
Hagrid,UK
Klaus Nomi,Germany
Brian McConnachie,USA
Yashvardhan 'Yash' Raichand,India
Nandini,India
Rahul,India
Rohan,India
Anjali Sharma,India
Sayeeda,India
Pooja 'Poo' Sharma,India
Hiroko Watanabe,Japan
Itsuki Fujii (Female),Japan
Itsuki Fujii (Male),Japan
Akiba,Japan
Mrs. Fujii,Japan
Grandpa,Japan
Clelia,Italy
Rosetta Savoni,Italy
Momina De Stefani,Italy
Nene,Italy
Lorenzo,Italy
Mariella,Italy
Carlo,Italy
Cesare Pedoni,Italy
Yankees,USA
George/Jorge,unknown
Alicia,Spain
Gerard,France
Nathan,UK
Sophie,unknown
Kim Si-hoo,South Korea
Lee Ji-ah (Yoo Mi-ho),South Korea
Jo Min-woo,South Korea
Kim Yo-han,South Korea
Han Dong-soo,South Korea
Lee Si-yeong,South Korea
Mik Nich,USA
Johnny Pollack,USA
Glushko,Ukraine
Nechyporuk,Ukraine
Gritt and Brythle,Unknown
Erik the Great,Unknown
Julie,Unknown
Mark Royce,Unknown
Buffo,Unknown
"John from The Hill, St. Louis",USA
"Mike from The Hill, St. Louis",USA
"Paul from The Hill, St. Louis",USA
"Mark from Corky Row, Fall River",USA
"Tom from Corky Row, Fall River",USA
"David from Corky Row, Fall River",USA
Ji-su,South Korea
Ji-hyeon,South Korea
Father,South Korea
Johnny Jones,Austria
Bill Smith,USA
O'Meara,Confederate
General Robert E. Lee,USA
Gunslinger,Unknown
Governor,Unknown
Girl,Unknown
Allan Quatermain,British
Jesse Huston,American
Umbopo,Kukuanas
Professor Huston,British
Bockner,German
Dogati,Turkish
Jaka Sembung,Indonesia
Ki Item,Indonesia
Parmin,Indonesia
Chiba,Japan
Mysterious Woman,Japan
Herbert Sarkar,India
Puja,USA
Sunder,India
Dev,India
Sangita,India
Padma,India
Ram Mata,India
Andy Osnard,UK
Harry Pendel,Panama
Louisa Pendel,Panama
British Ambassador,UK
Cazuza,Brazil
Jane Coslaw,USA
Marty Coslaw,USA
Nan Coslaw,USA
Bob Coslaw,USA
Arnie Westrum,USA
Stella Randolph,USA
Milt Sturmfuller,USA
Andy Fairton,USA
Sheriff Joe Haller,USA
Deputy,USA
Baptist Reverend Lester Lowe,USA
Uncle Red,USA
Elmer Zinneman,USA
Viktor Navorski,Krakozhia
CBP Head Frank Dixon,USA
Enrique Cruz,unknown
Amelia Warren,USA
Rajan Gupta,India
Capt. Steve Jarvis,USA
Joe Rossi,USA
Sarah,USA
Pearl O'Neill,USA
Pulaski,USA
Boats O'Hara,USA
Trevor 'Trife',UK
Alisa,UK
Sam Peel,UK
Katie,UK
Shaneek,UK
Becky,UK
Jay,UK
Moony,UK
Claire,UK
Uncle Curtis,UK
Lenny,UK
Andreas,unknown
Rajnandini Khandelwal,India
Vivaan,India
Nareshchandra,India
RJ's Father,India
Mariana,Colombia
Gabriel,Colombia
Andrea,Colombia
Antonio,Colombia
Rolf Pedersen,Norwegian
Knut Straud,Norwegian
Matthew Cordell,USA
Jack Forrest,USA
Teresa Mallory,USA
Susan Riley,USA
Commissioner Edward Doyle,USA
Steven Turkell,USA
Lieutenant Sean McKinney,USA
Joseph Blums,USA
Aditya Verma,India
Priya,India
Yamraj,Hindu Mythology
Hirachand,India
Jim Halsey,USA
John Ryder,unknown
Nash,USA
Captain Esteridge,USA
Elena Scheider,unknown
Adam Baker,unknown
Randy Brent,unknown
Marina,unknown
Grace St. George,unknown
Harvey Parkes,unknown
Nancy,unknown
Marty Lesky,unknown
Warren Ambrose,unknown
Reade Jamieson,unknown
Henry Waller,unknown
Andrew Lyons,unknown
Charlie,USA
Bob Valdez,USA
Frank Tanner,USA
R.L. Davis,USA
El Segundo,USA
Diego,USA
Gay Erin,USA
Thelonious Pitt,USA
Melanie,USA
Melanie's Husband,USA
Tom Hepple,UK
Gerri Hepple,UK
Mary,UK
Ken,UK
Joe,UK
Katie,UK
Ronnie,UK
Carl,UK
Golden Swallow,China
Fan Da-Pei (Drunken Cat),China
Liao Kung (Evil Abbot),China
Liu Xiaobo,China
Wang Dan,China
Wuer Kaixi,China
Han Dongfang,China
Ding Zilin,China
Chai Ling,China
Dai Qing,China
Feng Congde,China
Hou Dejian,China
Deng Xiaoping,China
Zhao Ziyang,China
Yan Mingfu,China
Pierre,French
Zélie,French
Madeleine de l'Orme,French
Mou-Mou,French
Dorian Gray,UK
Lord Henry Wotton,UK
Basil Hallward,UK
Sibyl Vane,UK
Jim,UK
Emily,UK
Gabe,USA
Rosemary,USA
Gabe's Father,USA
Gabe's Mother,USA
Boris,unknown
Claustrophobic Patient,unknown
Unsuspecting Civilians,unknown
Nancy Adams,USA
Rex 'Rocky' Thorne,USA
Royal Air Force air gunner,UK
Viridiana,Spain
Don Jaime,Spain
Jorge,Spain
Ramona,Spain
Lucia,Spain
Nyāko,Japan
Helen Allistair,England
Vivianne Bruce,England
Reinhold Messner,Italy
Günther Messner,Italy
Jeanne,France
Francis,USA
David,USA
Helen,Romania
Anna,Greece
Mary,Greece
Marina,Greece
Madam Pari,Greece
Michael,Greece
Myrsine,Greece
Captain Nicholas,Greece
Peter,Greece
The Pink Panther,unknown
Mice Group,unknown
James J. Corbett,USA
Walter Lowrie,USA
Judge Geary,USA
Harry Watson,UK
Pat Corbett,Irish
Victoria Ware,USA
Billy Delaney,USA
John L. Sullivan,USA
Ward Bond,USA
Flynn,USA
Jai Kishan (JK),India
Munish Mehra,India
Meena Khanna,India
Cassandra Nightingale,unknown
Sheriff Jake Russell,unknown
Abigail,unknown
Mayor Tom Tinsdale,unknown
Martha Tinsdale,unknown
Derek Sanders,unknown
Lori,unknown
Brandon,unknown
Wes,unknown
Old Shatterhand,USA
Lands Grabbers,USA
Shackleton,UK
Jerry,Unknown
Tom Thrush,Unknown
James Scobie,Australia
James Bentley,Britain
Peter Lalor,Ireland
John,UK
Mickey Mouse,USA
Stuart,UK
Astrid,Germany
Brian Epstein,UK
George Martin,UK
Cynthia,USA
Boston Blackie,USA
Dinah Moran,USA
John Lampau (Jani),USA
Irene,USA
Police Inspector Farraday,USA
Sergeant Matthews,USA
Sreenu,India
Vishwanatham,India
Bujji,India
Shruthi,India
Bhavani,India
Warangal Rajanna,India
Yadayya,India
Sandhya,India
Police Intelligence Officer,India
Paul Racine,USA
Kirina,Japan
Kinjo,Japan
Takeda,Japan
Mieko,Japan
Oshima,Japan
Main Character,USA
Antagonist,USA
Alex Kovac,USA
Jerry Feldman,USA
Patti Warner,USA
Smitty,USA
Major Kang,North Korea
Major Jung-Woo Park,South Korea
Dr. Kim,South Korea
Wreck-It Ralph,USA
Sergeant Calhoun,USA
Vanellope von Schweetz,USA
Sam Nussbaum,USA
Steph,USA
Tom,USA
Jane Alexander,USA
Tom O'Donnell,USA
Jack Morris,USA
Sissi,Austria
Emperor,Austria
Archduchess Sophie,Austria
Prince Gyula Andrássy,Hungary
Véronique Chambon,France
Jean,France
Frank,USA
Tony,USA
Vince,USA
Don Angelo,Italy
Ruby,USA
Belphegor,Egypt
Verlac,France
Roberta,English
Peter,English
Phyllis,English
Mother,English
Perks,English
Old Gentleman,English
Mr Szczepansky,Russian
Jim,English
Prince Duke Fleed (Daisuke Umon),Fleed
Doctor Umon,Japan
Koji Kabuto,Japan
Danbei Makiba,Japan
Hikaru Makiba,Japan
Princess Rubina,Vega
King Vega,Vega
Generals Blaki and Gandal,Vega
Maria Grace Fleed,Fleed
Thakur Bhupendra Singh,India
Ajit,India
Laxmi,India
Bheema,India
Kanhaiya,India
Police officer,India
Solomon Kane,England
Meredith,England
Sisif,France
Norma,France
Elie,France
Hersan,France
Gilderoy,UK
Renfield,unknown
Count Dracula,Transylvania
Dr. Seward,United Kingdom
Lucia,unknown
Professor Van Helsing,unknown
Eva,unknown
Corporal Paul Hodges,USA
Lieutenant Vicky Loren,France
Bold Cheung,Hong Kong
Cheung's Wife,Hong Kong
Master Tam,Hong Kong
Chin Hoi,Hong Kong
Priest Tsui,Hong Kong
Inspector,Hong Kong
Chinna Marudhu,India
Oomadurai,India
British Troops,Britain
Eliza,USA
Carl,USA
Jim,USA
Rita,USA
Lindinha,Brazil
Ivan Cláudio,Brazil
Jennifer,Brazil
Kishen/Ananthakrishnan,India
Ananthu,India
Muhammed Ibrahim,India
Akhila,India
Charles Karino,Levam Kingdom
Fana del Moral,Levam Kingdom
Crown Prince,Levam Kingdom
Ben Jordan,USA
Lee Samuels,USA
Laura Mathews,USA
Jim Campbell,USA
Celia Roslov,Russia
Sarah,unknown
Elissa,unknown
Carrie-Ann,unknown
Ryan,unknown
Weaver,unknown
Jack Hall,USA
Frank,USA
Jason,USA
Raymond Becker,USA
Terry Rapson,Scotland
Janet Tokada,USA
President Blake,USA
Sam,USA
Brian,USA
Laura,USA
J.D.,USA
Simon Callow,UK
Saundra McClain,USA
Kyra Sedgwick,USA
Robert Sean Leonard,USA
Margaret Welsh,USA
Peter Salem,USA
Ex-Wife,USA
Children,USA
Chandappan Gurukkal,India
Chathukutty Bhagavathar,India
Meera,India
Unni,India
Keshu Varma,India
Bugs,USA
Construction Worker,USA
Vivek Oberoi,India
Hiro Takagi,Japan
Dick Berry,Australia
Nancy,unknown
Dorothy Van Fallah,unknown
Morgan W. Scott,unknown
Dr. Harris Mead,unknown
Captain Mike Hamilton,unknown
Lily (Cat),unknown
Dular,unknown
Walt,unknown
Carolyn,unknown
Guy,unknown
Watts,unknown
Jimmy,unknown
Jhunku,India
Masterda Surya Sen,India
District Magistrate Wilkinson,United Kingdom
Maj. Johnson,United Kingdom
Aparna,India
Ganesh Ghosh,India
Nirmal Sen,India
Loknath Baul,India
Ambika Chakraborthy,India
Ananta Ghosh,India
Ahsanullah Khan,India
Pritilata,India
Ethan Hunt,USA
Sean Ambrose,USA
Luther Stickell,USA
Roy Blood,USA
Two-Strike Snake,USA
Shiba,USA
Turner,USA
Garrincha,Mexico
"Thomas Barrett, Sr.",USA
Margaret,USA
Sheriff,USA
Benjamin Keynes,USA
Muhammad-Aban,Afghanistan
O'Brien,Unknown
Sawyer,Unknown
Sheila Ryan,Unknown
Clem Bevans,Unknown
Monte Blue,Unknown
Hugh Hooker,Unknown
Mansour Ziaee,Iran
Laura,Spain
Carlos,Spain
Simón,Spain
Benigna Escobeda,Spain
Pilar,Spain
Frank,United Kingdom
Miranda,USA
Miranda's Boss,unknown
Unwitting Customer,unknown
Billy the Kid,USA
Pat Garrett,USA
Doc Scurlock,USA
Jose Chavez y Chavez,USA
Arkansas Dave Rudabaugh,USA
John Simpson Chisum,USA
Jane Greathouse,USA
John Doe,England
Uncle Tom,England
Squire's Son,England
Penn,USA
Teller,USA
Carlotta,USA
Uncle Ernesto,USA
Officer MacNamara,USA
Nameless Villain,USA
Madman,USA
Commander Christopher 'Kit' Draper,USA
Colonel Dan McReady,USA
Andre Lima,Brazil
Bill Jones,Australia
Winnie,Australia
Earl of Margate,UK
Mike Petrakis,Greek American
Tony Petrakis,Greek American
Gwyneth Rhys,WASP
Rhys family,WASP
Cindy,USA
Jim Green,USA
Brenda Best,USA
James Green Sr.,USA
Mel,USA
Bub,USA
Reggie,USA
Joni Jerome,USA
Adoption counselor,USA
Ensign Jim Kent,USA
Lt Terry Kent,USA
Dick,USA
Dr. Nathaniel Shellner,USA
Lillian Shellner,USA
Leonard Shellner,USA
Tommy Shellner,USA
Julie Shellner,USA
Harry Shellner,USA
Sylvia Shellner,USA
Sasha Shellner,USA
Vanessa's Mother,USA
Vanessa's Father,USA
Cleaning Lady,USA
Clément Roquemaure,France
Ratan Singh,India
Raj,India
Rashmi,India
Booky,USA
Booky's Dad,USA
Booky's Mum,USA
Department Store Owner,USA
Miss Bianca,Hungarian
Bernard,unknown
Madame Medusa,unknown
Mr. Snoops,unknown
Rufus,unknown
Orville,unknown
Daffy Duck,USA
Commander Scott,USA
General Zhang,China
Captain Li,China
Murugesan,India
Parijatham,India
Thapaal Thangavelu,India
Panjami Iyer,India
Capt. Richmond Talbot,USA
Lyrae,Beta Lyrae
"FBI, NASA, and CIA agents",USA
Karol Wojtyła,Poland
Benny Hogan,Ireland
Eve Malone,Ireland
Nan Mahon,Ireland
Jack Foley,Ireland
Sean Walsh,Ireland
Inspector Ghote,India
Pratima Ghote,India
Axel Svennson,Sweden
Praveen Jayaramaraju (PJ),India
Pedda Ramaraju,India
Sindhu,India
Rajanna,India
Kanna Babu,India
Jaatheeyam,India
Maqbool,India
Party Worker 1,India
Party Worker 2,India
New Leader,India
Youth Leader,India
Mother Rabbit,Unknown
Little Rabbit,Unknown
Snowman,Unknown
Paul,France
Agnès,France
Louis-Arnault,France
Mécir,France
C-3PO,unknown
R2-D2,unknown
The Great Heep,unknown
Mohei,Japan
Lord Ieyasu Tokugawa,Japan
Michael Finnegan,USA
Liz DeHaan,USA
Captain Tim Cotton,UK
German Officer,Germany
Elderly family matriarch,USA
"Younger, married neighbor",USA
Family members,USA
Pierre Tardivet,France
Marie-José Vauzange,France
Dr. Bosc,France
Gérard Durieu,France
Gandolfo,Spain
Captain Hugh 'Bulldog' Drummond,UK
Algy Longworth,UK
Tenny,UK
Phyllis Claverling,UK
Ambrose Bierce,USA
Pancho Villa,Mexico
Johnny Madrid,Mexico
Mary Newlie,USA
John Newlie,USA
Esmeralda,Mexico
Reece,unknown
Quixtla,Mexico
Steven Mills,USA
Jessie Mills,USA
Mala,Adivasi
Sanatan,Adivasi
Prabir,Adivasi
Marlon Brando,USA
David Niven,UK
Shirley Jones,USA
Martin Stang,Unknown
Sarah,Unknown
Lee Custler,unknown
Sheriff Joel Armstrong,USA
Alien,unknown
Tammy,unknown
Hilary,unknown
Javier,unknown
Figgus,unknown
Marcy,unknown
Garrison,unknown
Hunter,unknown
Valentine,unknown
Freckle,unknown
Two Fingers,unknown
Marty,unknown
Styles,unknown
T,unknown
Lexin,unknown
King,USA
Preston Gilbert,USA
Monti Ward,USA
Jürgen Anger,Europe
Eigil,USA
Camille Pelleveau,France
Joëlle,France
Dr. Marc Antoine Worms,France
Piper Grayson,USA
Kate Westbourne,USA
Beryl Mason,USA
Dr. Schwerdtfeger,Austria
Lotte,Austria
Leo Strakosch,Austria
Bernie Lootz,USA
Shelly Kaplow,USA
Natalie Belisario,USA
Larry Sokolov,USA
Arthur Bach,USA
Linda,USA
Bert Johnson,USA
Susan Johnson,USA
Xerxes,India
Art,India
Khodaiji,India
Liana,India
Pressvala,India
Sarah,USA
Tom,USA
Mohan,India
Sheela,India
Leela,India
Nasser,India
Ponnarasi,India
Sringaram,India
Reghu,India
Thenmozhi,India
Bill Benson,USA
Ted Adams,USA
Patsy Blair,USA
Gaby Duval,France
Bror Jacques de Wærn,Sweden
Donald Duck,USA
Molly,USA
Butler,USA
Mr Graham,USA
Andrea Orsini,Italy
Cesare Borgia,Italy
Lucrezia Borgia,Italy
Alfonso d'Este,Italy
Don Esteban,Italy
Camilla di la Baglione,Italy
Count Marc Antonio Verano,Italy
Mario Belli,Italy
Sergei,Russia
Pavel,Russia
Luis,Spain
Elisa,Spain
Rudolf V,UK
Michael,UK
Sydney Frewin,UK
Purple Monster,Mars
Kunjidhapadam,India
Angel,India
Virginia,England
William Robertson,Australia
Clara,Australia
Marco,Australia
Master Lau,Japan
Tony Figaro,Italian
Steve Barker,USA
Stavi,USA
Uncle Gary,USA
Jimmy Washington,USA
Lynn,USA
Glen,USA
Thomas,USA
Tish,USA
David,USA
Detective Kovač,Hungary
Housekeeper of the hotel,Hungary
Russian pimp,Russia
Porn-store owner,unknown
Aniruddha,India
Usha,India
Krishna,India
Bakasura,India
Drew Barrymore,USA
Susan Sarandon,USA
Vince Vaughn,USA
Roger Moore,UK
Steve Raleigh,USA
Captain Ravi Khanna,India
Seema,India
Khan,India
Roland Sharp,USA
Maggie Swanson,USA
John Cortland,USA
Eddie Zaine,USA
Governor of Texas,USA
Secret Agent,unknown
Husband,unknown
Sim,Republic of Toads
Neighboring President,unknown
Silk,unknown
Mecca,unknown
Debbie,unknown
Howard,unknown
Mo,unknown
Tre,unknown
Roy A. Eberhardt,USA
Beatrice 'The Bear' Leep,USA
Mullet Fingers,USA
Delinko,USA
Leroy 'Curly' Branitt,USA
Gene Autry,USA
Jed Thorpe,USA
Thad Morgan,USA
Sandra Knight,USA
Briggs,USA
Frog Millhouse,USA
Retired Army Officer,India
Wife,India
Omar,Algeria
Ganesh,India
Nandini,India
Subramani,India
Damayanthi,Sri Lanka
Sugath,Sri Lanka
Sarath,Sri Lanka
Champa,Sri Lanka
Nihal,Sri Lanka
Ben Stone,USA
Alison Scott,USA
Pete,USA
Alison's Mother,USA
Tess Silverman,Australia
Claire Silverman,Australia
Alexa Vega,USA
Corrupt Cop,USA
Isahak,unknown
Father Velankani,unknown
Riza Bava,unknown
Devi,unknown
Maurice Lawes,England
Janice,England
Dermot Kinross,England
Toby,England
Eve,England
Ned,England
Jagmohan Mehta,India
Tara Babu,India
Vikrant Kapoor,India
Wokulski,Poland
Izabela,Poland
Tomasz Łęcki,Poland
Cristobal,Mexico
Elisa,Mexico
Adan,Mexico
Dolores,Argentina
Mafer,Mexico
Ben Mears,USA
Mark Petrie,USA
Richard Straker,unknown
Kurt Barlow,unknown
Susan Norton,USA
Dr. Bill Norton,USA
Jason Burke,USA
Father Callahan,USA
Spanish Captain,Spain
Aye-Aye,Russia
D,unknown
Baron Meier Link,unknown
Charlotte,unknown
Countess Carmilla,unknown
The Wehrmacht Survivors,Germany
The Krupp Family,Germany
Allied Forces,Various
Civilian Population,Germany
New German Police Force,Germany
Henry Turner,USA
Sarah Turner,USA
Rachel Turner,USA
Linda,USA
McKinley Thompson,USA
Vanya,Soviet Union
Theodore,Soviet Union
Commissar Vasiliev,Soviet Union
Uuno,Finland
Elisabet,Finland
Härski-Hartikainen,Finland
Mister Tossavainen,Finland
Father-in-law,Finland
Woody Woodpecker,Unknown
Buzz Buzzard,Unknown
Matt Franklin,USA
Tori Fredreking,USA
Wendy,USA
Barry Nathan,USA
Matt's dad,USA
Bricks Workers,Mexico
Francisco,Mexico
Maria,Mexico
Luis,Mexico
Dulce,Mexico
Ana,Mexico
Ana's Bosses,USA
Bhaskar,India
Archana,India
Vivek,India
Madan,India
James Dunn,USA
Lt. Col Grant Casey,USA
General Adam Woodward,USA
Mithun,India
Poonam Dhillon,India
Suresh Oberoi,India
Adam,Irish
Paul,Irish
Marian,Irish
Orla,Irish
Wayne,Irish
Georgie,Irish
Matthew,Irish
Kittser,Irish
Mary Kornman,USA
Mickey,USA
Susanna,USA
Floyd Stewart,USA
Gladys,USA
Latoya Nesmith,USA
Crystal,Germany
Jonathan Swift,Ireland
Stella,Ireland
Vanessa,Ireland
Elvis Presley,USA
President Nixon,USA
Anti-war activist,USA
Tseng,Unknown
Zack Fair,Unknown
Cloud Strife,Unknown
Sephiroth,Unknown
Tifa,Unknown
Meredith Morton,USA
Everett,USA
Julie,USA
Amy Stone,USA
Ben,USA
Brad Stevenson,USA
Sybil,USA
Thad,USA
Patrick,USA
Susannah,USA
Gus,USA
Three Veterans,USA
Vivacious Woman,France
Tora-san,Japan
Manager of the Inn,Japan
Ravi Verma,Unknown
Ranjit Verma,Unknown
Veljibhai Soda,Unknown
Ustad Ali Mohammed,Unknown
Rita,Unknown
Fievel,European
Tony,European
Mr. Grasping,European
Toplofty,European
O'Bloat,European
Dr. Dithering,Unknown
Cholena,Lenape
McBrusque,European
Scuttlebutt,European
Tiger,Unknown
Bud Corliss,USA
Dorothy Kingship,USA
Ellen Kingship,USA
Princess,fictional
Commoner,fictional
King,fictional
Queen,fictional
Queen's Brother,fictional
Jan Bucquoy,Belgium
Pierre Mertens,Belgium
Mahmud Nasir,UK
Rashid,UK
Uzma,UK
Arshad Al-Masri,UK
Leonard 'Lenny' Goldberg,USA
Zhang Wuji,China
Song Qingshu,China
Xie Xun,China
Giri,India
Arjun,India
Sundar C,India
Keech,unknown
Lewis Hicks,unknown
Gina,unknown
Felecia Carson,unknown
District Attorney Felecia Carson,unknown
Investigative reporter Lewis Hicks,unknown
James,unknown
Polly,unknown
Tara,USA
Jake,Ireland
Bluto,USA
Holly,USA
Lisa,USA
Ernie,Ireland
Bernie,Ireland
Billie,Australia
Sean,Australia
Melvin,USA
Ro-Man Extension XJ-2,alien
Elderly Scientist,Earth
Wife,Earth
Daughters,Earth
Son,Earth
Young Assistant,Earth
Pilots,Earth
Great Guidance,alien
Sergeant Anderof,USA
Lieutenant Colonel Thorwald,USA
Hillbilly,USA
Alan Curtis,USA
Robert Mitchum,USA
Harold Landon,USA
David Bruce,USA
Filipino,Philippines
Spanish Civil War Veteran,Spain
Marine,USA
Lt. Grace McDonald,USA
Poor Girl,South Korea
Anthony,Switzerland
Double Eyes,South Korea
Cyclops,South Korea
Dr. Maggie McCullough,USA
Aunt Annie,USA
Union Fighter,USA
Confederate Doctor,USA
Main Character,India
Ermus Daglek,unknown
Candy Droober,unknown
Franklin Droober,unknown
Maureen Droober,unknown
Trace Mayter,unknown
Kray Facer,unknown
Tristan,unknown
Professor Sedikh,Russia
Professor Karin,Russia
Marina,Russia
Andryusha,Russia
J.B. Honeywell,USA
T.R. Kent,USA
George Ellerbe,USA
Arlene Dale,USA
Nancy Lorraine,USA
CastReceptionDerek,unknown
Marcos,Spain
Diana,Spain
Juan,Spain
Charo,Spain
Naked man,unidentified
Naked woman,unidentified
Identical twins,unidentified
Man across the street,unidentified
Woman across the street,unidentified
The Stranger,Unknown
Mordecai,Unknown
Callie Travers,Unknown
Marshal Jim Duncan,Unknown
Bridges,Unknown
Stacey Bridges,Unknown
Dan Carlin,Unknown
Cole Carlin,Unknown
Sheriff Shaw,Unknown
Sarah Belding,Unknown
Lewis Belding,Unknown
John Belushi,USA
Angel Velasquez,Puerto Rico
Judith Belushi,USA
Dan Aykroyd,USA
Bob Woodward,USA
Cathy Smith,USA
Lord Nicholas Dorset,Britain
Britt,Britain
Mr. Graham,Britain
Captain Stevens,USA
Co-Pilot Smith,USA
Dada,Nigeria
Dada's Uncle,Nigeria
Darley,UK
Pursewarden,UK
Justine,Egypt
Mance Cashen,USA
Chief Sam John,Comanche
Tommy Boatwright,USA
Denholm Elliott,USA
Elizabeth Taylor,USA
Peter Lorre,USA
Judge Juan Guzmán,Chile
Augusto Pinochet,Chile
Salvador Allende,Chile
Manuel Donoso,Chile
Cecilia Castro,Chile
Venu,India
Renuka,India
Bharathan Pillai,India
Rishikesh,India
Nilus,Unknown
Oyster,Unknown
Bogeyman,Unknown
Nilus's Camel,Unknown
Henry Steele,USA
Janet Hays,USA
Criminal 1,Unknown
Criminal 2,Unknown
Antonio Badalamenti,Italy
Marta,Italy
Don Vincenzo,Italy
Rocket Raja,India
Kaatupoochi,India
Swetha,India
Divya Rathnavel,India
Rathnavel Pandian IPS,India
Young man from Paris,France
Friend,Spain
Local woman,Spain
Dr. Kim,South Korea
Kim Hoon,South Korea
Kim Cheol,South Korea
